OBJECTID,Elevation,Slope,Aspect,坡高,斜坡形态,地形表面纹理,TRI,地形位置指数,地形表面凸率,地形汇聚指数,相对坡位,平面曲率,剖面曲率,Curvature,River,流域面积,流路长度,地形湿度指数,河谷深度,流域坡度,河流强度指数 ,距河网垂直距离,Lithology,斜坡结构,NDVI,NDWI,Rainfall,Earthquake,NDBI,class
152,168.221198,12.521638,227.172925,17.037355,4.036866,0.67851,4.649703,0.229169,0.446743,0.147714,0.483833,0.007225,-0.013422,0.020647,128.299709,5995.188521,323.730567,11.676626,16.767462,0.201072,-3606.400409,78.280587,2,5,0.550044,0.301119,1145.316528,1.961206,-0.300922,1
157,212.870861,16.442798,128.454235,34.241359,3.884106,0.518353,6.251571,-0.132271,0.426714,-0.379076,0.489051,-0.004776,0.013668,-0.018444,294.012444,12068.16681,592.874543,12.131752,50.029933,0.312273,3744.44984,101.659665,2,3,0.723065,0.277831,1145.651367,1.98441,-0.274597,1
169,334.563492,16.209974,122.608543,61.669003,3.783069,0.572313,6.191822,-0.050908,0.433696,-0.699016,0.539357,-0.044331,-0.03408,-0.00897,750.114892,16748.44187,384.592895,11.990544,56.0047,0.236279,-2178.696705,38.096455,2,3,0.738135,0.311337,1147.305786,2.093006,-0.3125,1
163,221.239362,11.985963,209.813245,33.730427,3.968085,0.64944,4.461827,0.11314,0.451993,-0.114401,0.498752,0.008741,0.026131,-0.01739,407.942242,7742.963806,435.027207,11.460785,25.653455,0.189711,5453.572457,94.492817,2,7,0.481058,0.281285,1146.475464,1.926697,-0.280487,0
177,169.87931,10.279136,232.853808,13.353594,4.189655,0.738551,3.917438,0.482448,0.435766,2.253481,0.475699,0.027409,-0.014693,0.040711,157.97005,4377.076965,201.053012,11.106018,17.946533,0.173821,-1812.483496,102.386821,2,5,0.499238,0.281979,1147.553467,2.007371,-0.283747,0
176,274.809886,16.73986,192.445798,31.554998,3.813688,0.589402,6.311407,-0.377762,0.454199,-0.979902,0.532557,0.00349,0.016842,-0.013352,1516.035472,16435.80831,664.636137,12.109778,36.394883,0.275365,8452.181879,112.404774,2,7,0.69008,0.262132,1146.310059,1.919512,-0.258575,0
183,243.547436,16.755334,110.453997,65.792387,3.905128,0.503931,6.422183,-0.010638,0.423773,-0.36806,0.545342,0.006041,0.003247,0.002484,282.556495,11652.57088,694.865823,12.239129,68.505773,0.292447,-2468.121042,73.667235,2,3,0.662907,0.303135,1148.088013,2.063004,-0.301973,1
186,360.626866,12.793928,108.045827,9.823171,3.38806,0.467583,5.086418,-1.417436,0.301568,-5.028435,0.480785,0.009784,0.15979,-0.150006,1280.717737,7245.950514,185.307579,11.438789,17.794466,0.248845,70471.85685,13.309453,2,7,0.620816,0.317759,1148.49585,2.112056,-0.320247,0
178,394.466667,23.230554,150.751749,68.550631,3.266667,0.473186,9.379058,3.038081,0.382124,6.969964,0.625819,-0.110943,-0.248177,0.137234,1345.31604,2689.875696,113.380026,9.415697,15.238026,0.300586,-4947.863096,73.422506,2,3,0.633615,0.17576,1146.356445,1.898546,-0.181712,0
182,401,17.19199,170.156034,30.971224,6.307692,0.412751,7.64346,1.572245,0.338702,7.067444,0.536334,0.169531,-0.034408,0.203939,1271.542551,3515.752252,66.990853,11.473393,11.810379,0.249895,-482.069213,72.776104,2,7,0.689521,0.246396,1146.467651,1.899266,-0.268428,0
